model_name,model_id,canonical_label,layer_index,head_index,relative_depth,num_layers,num_attention_heads,num_kv_heads,head_dim,W_Q_norm,W_Q_frobenius_norm,W_Q_mean,W_Q_std,W_Q_sparsity,W_Q_spectral_norm,W_K_norm,W_K_frobenius_norm,W_K_mean,W_K_std,W_K_sparsity,W_K_spectral_norm,W_V_norm,W_V_frobenius_norm,W_V_mean,W_V_std,W_V_sparsity,W_V_spectral_norm,W_O_norm,W_O_frobenius_norm,W_O_mean,W_O_std,W_O_sparsity,W_O_spectral_norm,V_to_Q_norm_ratio,Q_to_K_norm_ratio,V_to_K_norm_ratio,O_to_V_norm_ratio,QK_frobenius_norm,QK_spectral_norm,QK_top_1_sv,QK_top_2_sv,QK_top_3_sv,QK_effective_rank,QK_condition_number,QK_anisotropy,QK_singular_value_entropy,OV_frobenius_norm,OV_spectral_norm,OV_top_1_sv,OV_top_2_sv,OV_top_3_sv,OV_effective_rank,OV_condition_number,OV_anisotropy,OV_singular_value_entropy
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,8,8,0.2962962962962963,28,12,2,128,11.298358917236328,11.298358917236328,-1.6784679246484302e-05,0.025480961427092552,0.0003458659048192203,2.0490424633026123,13.990323066711426,13.990323066711426,-8.969471309683286e-06,0.03155209869146347,0.00020853678870480508,1.99559485912323,12.569348335266113,12.569348335266113,9.746823343448341e-05,0.028347235172986984,0.0004221598501317203,1.429396390914917,12.908987045288086,12.908987045288086,2.4617989765829407e-05,0.029113372787833214,0.00037129721022211015,1.911889672279358,1.1124932768846247,0.8075838465902825,0.8984315998523135,1.0270211868555141,4.805075168609619,1.5454636812210083,1.5454636812210083,1.1017335653305054,1.0328534841537476,53.06307621786972,811.583984375,0.10344454432415827,3.9714813232421875,5.522083759307861,1.1332658529281616,1.1332658529281616,1.0679090023040771,1.040461778640747,68.90103921373048,233.77622985839844,0.042116098316234765,4.23267126083374
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,8,9,0.2962962962962963,28,12,2,128,11.024189949035645,11.024189949035645,-6.31904840702191e-05,0.024862557649612427,0.000457763671875,2.10269832611084,13.990323066711426,13.990323066711426,-8.969471309683286e-06,0.03155209869146347,0.00020853678870480508,1.99559485912323,12.569348335266113,12.569348335266113,9.746823343448341e-05,0.028347235172986984,0.0004221598501317203,1.429396390914917,11.400260925292969,11.400260925292969,-1.8688388081500307e-05,0.025710774585604668,0.00037129721022211015,1.5610545873641968,1.1401607186885978,0.7879868031988342,0.8984315998523135,0.906989019734324,6.044119358062744,1.4583486318588257,1.4583486318588257,1.129529595375061,1.0814132690429688,68.32577216342571,1282.2266845703125,0.058216759247842,4.224287033081055,10.491354942321777,1.2749334573745728,1.2749334573745728,1.260145664215088,1.2552968263626099,114.87636120534634,13.404928207397461,0.014767343211902177,4.743856430053711
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,8,10,0.2962962962962963,28,12,2,128,14.137592315673828,14.137592315673828,-2.4428198230452836e-05,0.031884223222732544,0.0003204345703125,2.459313154220581,13.990323066711426,13.990323066711426,-8.969471309683286e-06,0.03155209869146347,0.00020853678870480508,1.99559485912323,12.569348335266113,12.569348335266113,9.746823343448341e-05,0.028347235172986984,0.0004221598501317203,1.429396390914917,11.107980728149414,11.107980728149414,-5.924327524553519e-06,0.025051608681678772,0.00035603842115961015,2.223004102706909,0.8890727681644938,1.0105265080912793,0.8984315998523135,0.8837356107790505,5.29429292678833,1.1462277173995972,1.1462277173995972,1.1363528966903687,1.0626875162124634,59.677406311648504,1923.38330078125,0.04687242610264629,4.088953495025635,4.636727333068848,0.9573935270309448,0.9573935270309448,0.8814369440078735,0.8144500255584717,74.09749861890272,708.5828857421875,0.042633318700095645,4.305381774902344
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,8,11,0.2962962962962963,28,12,2,128,12.415428161621094,12.415428161621094,3.5520788514986634e-06,0.02800026722252369,0.00026448568678461015,2.562807559967041,13.990323066711426,13.990323066711426,-8.969471309683286e-06,0.03155209869146347,0.00020853678870480508,1.99559485912323,12.569348335266113,12.569348335266113,9.746823343448341e-05,0.028347235172986984,0.0004221598501317203,1.429396390914917,11.75383472442627,11.75383472442627,7.689841004321352e-05,0.02650807984173298,0.000335693359375,1.6477735042572021,1.0123974921879522,0.8874296971149738,0.8984315998523135,0.9351188630403973,5.784345626831055,1.4925504922866821,1.4925504922866821,1.409850835800171,1.346098780632019,55.46794267685704,3855.922119140625,0.06657961044496917,4.015805244445801,8.308172225952148,1.3882017135620117,1.3882017135620117,1.3536256551742554,1.2960302829742432,90.49946273260703,345.42462158203125,0.027918047816889134,4.505343914031982
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,9,0,0.3333333333333333,28,12,2,128,11.475556373596191,11.475556373596191,2.2576386982109398e-06,0.025880595669150352,0.00035603842115961015,2.2451999187469482,14.276182174682617,14.276182174682617,4.0610677388031036e-05,0.0321967676281929,0.00030517578125,2.248880624771118,12.390761375427246,12.390761375427246,-9.30171663640067e-05,0.02794448286294937,0.00034077963209711015,1.3446227312088013,12.481534957885742,12.481534957885742,8.324364171130583e-05,0.028149235993623734,0.00027974447584711015,2.3036956787109375,1.0797525603140996,0.8038252967916424,0.8679324222560167,1.0073259083689385,7.9882917404174805,2.120894193649292,2.120894193649292,1.388416051864624,1.3008824586868286,74.41411583225859,331.494140625,0.07048902001215114,4.309645652770996,11.56230354309082,1.330777883529663,1.330777883529663,1.3177107572555542,1.3051928281784058,119.28107663529006,5.92061185836792,0.013246871043728126,4.781482696533203
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,9,1,0.3333333333333333,28,12,2,128,14.55952262878418,14.55952262878418,8.907029405236244e-05,0.03283568471670151,0.000274658203125,2.429384469985962,14.276182174682617,14.276182174682617,4.0610677388031036e-05,0.0321967676281929,0.00030517578125,2.248880624771118,12.390761375427246,12.390761375427246,-9.30171663640067e-05,0.02794448286294937,0.00034077963209711015,1.3446227312088013,11.519981384277344,11.519981384277344,5.842436075909063e-05,0.025980720296502113,0.0003662109375,1.6494951248168945,0.8510417333976049,1.0198470747033512,0.8679324222560167,0.9297234475946117,6.445748805999756,1.8881092071533203,1.8881092071533203,1.569972038269043,1.4298139810562134,54.07488238234204,1653.370849609375,0.08580217795012912,3.9903697967529297,4.339144229888916,0.841685950756073,0.841685950756073,0.8201769590377808,0.7772563099861145,72.08605700564787,465.56976318359375,0.037625391596765236,4.277860641479492
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,9,2,0.3333333333333333,28,12,2,128,13.778494834899902,13.778494834899902,-0.00010027022653957829,0.03107420727610588,0.00020345053053461015,2.669769763946533,14.276182174682617,14.276182174682617,4.0610677388031036e-05,0.0321967676281929,0.00030517578125,2.248880624771118,12.390761375427246,12.390761375427246,-9.30171663640067e-05,0.02794448286294937,0.00034077963209711015,1.3446227312088013,11.685152053833008,11.685152053833008,7.613438356202096e-06,0.026353290304541588,0.0003458659048192203,1.3721424341201782,0.8992826519811468,0.9651386250406759,0.8679324222560167,0.9430535945121279,6.796428203582764,1.9757167100906372,1.9757167100906372,1.5874431133270264,1.5161749124526978,55.10535102153132,3061.82568359375,0.08450420780248535,4.009246826171875,7.276501178741455,1.0719352960586548,1.0719352960586548,1.0188435316085815,1.0092504024505615,100.67168382670782,45.844661712646484,0.021701206279349853,4.6118645668029785
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,9,3,0.3333333333333333,28,12,2,128,15.985804557800293,15.985804557800293,0.00013955729082226753,0.03605220094323158,0.00038655599928461015,2.9008138179779053,14.276182174682617,14.276182174682617,4.0610677388031036e-05,0.0321967676281929,0.00030517578125,2.248880624771118,12.390761375427246,12.390761375427246,-9.30171663640067e-05,0.02794448286294937,0.00034077963209711015,1.3446227312088013,11.438153266906738,11.438153266906738,-3.568129613995552e-08,0.02579624205827713,0.00042724609375,1.474212884902954,0.775110275535281,1.1197534720548428,0.8679324222560167,0.9231194855868998,6.8150553703308105,1.6221795082092285,1.6221795082092285,1.4963074922561646,1.4795366525650024,52.72940367631859,2728.37646484375,0.05665667473831313,3.9651732444763184,4.752377510070801,0.881931483745575,0.881931483745575,0.8086379766464233,0.8000606894493103,77.18077505663668,576.3150634765625,0.03443801118794325,4.3461503982543945
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,9,4,0.3333333333333333,28,12,2,128,12.938094139099121,12.938094139099121,-1.9921544662793167e-05,0.02917901985347271,0.0002695719595067203,2.5046892166137695,14.276182174682617,14.276182174682617,4.0610677388031036e-05,0.0321967676281929,0.00030517578125,2.248880624771118,12.390761375427246,12.390761375427246,-9.30171663640067e-05,0.02794448286294937,0.00034077963209711015,1.3446227312088013,10.315890312194824,10.315890312194824,2.030403629760258e-05,0.023265214636921883,0.00042724609375,1.5017430782318115,0.9576960286589973,0.9062712972417031,0.8679324222560167,0.8325469274769136,6.240550518035889,1.8546178340911865,1.8546178340911865,1.4237014055252075,1.366979956626892,54.37629403693601,880.3472900390625,0.08831897306771931,3.9959282875061035,3.0241456031799316,0.6370275020599365,0.6370275020599365,0.5916207432746887,0.5795214176177979,66.67134290290929,2501.314453125,0.04437129548815533,4.199775218963623
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,9,5,0.3333333333333333,28,12,2,128,14.066168785095215,14.066168785095215,-5.1615392294479534e-05,0.03172311186790466,0.0002848307485692203,2.7727859020233154,14.276182174682617,14.276182174682617,4.0610677388031036e-05,0.0321967676281929,0.00030517578125,2.248880624771118,12.390761375427246,12.390761375427246,-9.30171663640067e-05,0.02794448286294937,0.00034077963209711015,1.3446227312088013,12.183321952819824,12.183321952819824,9.401485840498935e-06,0.027476806193590164,0.0003306071157567203,1.4532976150512695,0.8808909920495657,0.9852892470118259,0.8679324222560167,0.9832585410758429,6.540933609008789,1.8402831554412842,1.8402831554412842,1.4979619979858398,1.411887764930725,55.268505005826356,1092.3624267578125,0.07915530956013063,4.012203216552734,8.277445793151855,1.1797047853469849,1.1797047853469849,1.1234939098358154,1.1126198768615723,104.19618541259143,14.19294261932373,0.02031165480751163,4.646275520324707
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,9,6,0.3333333333333333,28,12,2,128,10.48889446258545,10.48889446258545,-1.3328213753993623e-05,0.023655392229557037,0.0005442301626317203,2.0974652767181396,14.755864143371582,14.755864143371582,0.00010338226275052875,0.0332784503698349,0.00027974447584711015,2.4731316566467285,10.5878267288208,10.5878267288208,4.957404962624423e-05,0.023878462612628937,0.00034077963209711015,1.5070514678955078,14.195375442504883,14.195375442504883,-0.00011847656423924491,0.032014328986406326,0.0003204345703125,2.543384313583374,1.009432096641577,0.7108288854316972,0.7175334921747134,1.3407260815696966,9.835881233215332,2.066267728805542,2.066267728805542,1.9865890741348267,1.9490176439285278,48.96947792752194,12704.44140625,0.04413041733460754,3.8911972045898438,6.84426212310791,1.9792829751968384,1.9792829751968384,1.8577338457107544,1.7205482721328735,50.280415734975364,2060.81787109375,0.08362796587427322,3.9176156520843506
Qwen-1.5B,Qwen/Qwen2.5-1.5B,induction,9,7,0.3333333333333333,28,12,2,128,15.712143898010254,15.712143898010254,-5.3148833103477955e-06,0.03543528914451599,0.0002899169921875,2.2641892433166504,14.755864143371582,14.755864143371582,0.00010338226275052875,0.0332784503698349,0.00027974447584711015,2.4731316566467285,10.5878267288208,10.5878267288208,4.957404962624423e-05,0.023878462612628937,0.00034077963209711015,1.5070514678955078,7.72548770904541,7.72548770904541,3.269863373134285e-05,0.017423110082745552,0.00047810873365961015,1.702139139175415,0.6738626375611434,1.0648067605760492,0.7175334921747134,0.7296575498391119,20.068517684936523,3.4455835819244385,3.4455835819244385,3.4368844032287598,3.3925318717956543,61.56604566177423,125969.0859375,0.029477138625421048,4.120110511779785,3.8149585723876953,1.3164911270141602,1.3164911270141602,1.2674967050552368,0.9554867148399353,39.852834767989656,2172.25146484375,0.11908189473456349,3.6851935386657715
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,9,8,0.3333333333333333,28,12,2,128,16.38976287841797,16.38976287841797,-1.8260714114148868e-06,0.036963507533073425,0.0005238851299509406,2.6207451820373535,14.755864143371582,14.755864143371582,0.00010338226275052875,0.0332784503698349,0.00027974447584711015,2.4731316566467285,10.5878267288208,10.5878267288208,4.957404962624423e-05,0.023878462612628937,0.00034077963209711015,1.5070514678955078,9.778255462646484,9.778255462646484,-3.1583564123138785e-05,0.02205268293619156,0.00046284994459711015,2.1000566482543945,0.6460024350198651,1.1107287732632907,0.7175334921747134,0.9235375410930214,23.237070083618164,4.351134300231934,4.351134300231934,4.323136806488037,4.307768821716309,50.00239926659389,87494.640625,0.03506162813931643,3.9120709896087646,4.857486724853516,1.7067735195159912,1.7067735195159912,1.6383367776870728,1.208845615386963,41.22310536525017,11267.3369140625,0.12345868373990392,3.718998908996582
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,9,9,0.3333333333333333,28,12,2,128,10.649741172790527,10.649741172790527,-5.6016386224655434e-05,0.02401808463037014,0.0004119873046875,1.793683648109436,14.755864143371582,14.755864143371582,0.00010338226275052875,0.0332784503698349,0.00027974447584711015,2.4731316566467285,10.5878267288208,10.5878267288208,4.957404962624423e-05,0.023878462612628937,0.00034077963209711015,1.5070514678955078,11.763081550598145,11.763081550598145,-3.435932376305573e-05,0.02652902342379093,0.0003763834829442203,2.0956969261169434,0.9941862958954033,0.7217294134279678,0.7175334921747134,1.1110005718706293,9.88742446899414,1.8077400922775269,1.8077400922775269,1.7662297487258911,1.7289401292800903,60.5521595290351,3396.288818359375,0.03342686868764777,4.1035051345825195,5.3934645652771,1.5433855056762695,1.5433855056762695,1.3282678127288818,1.2832986116409302,49.777744069597574,1946.423583984375,0.08188501940231378,3.9075679779052734
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,9,10,0.3333333333333333,28,12,2,128,12.069025993347168,12.069025993347168,4.30254585808143e-05,0.027219001203775406,0.00032552084303461015,2.192014217376709,14.755864143371582,14.755864143371582,0.00010338226275052875,0.0332784503698349,0.00027974447584711015,2.4731316566467285,10.5878267288208,10.5878267288208,4.957404962624423e-05,0.023878462612628937,0.00034077963209711015,1.5070514678955078,9.921859741210938,9.921859741210938,8.087822061497718e-05,0.022376427426934242,0.000457763671875,1.7243025302886963,0.8772726759118277,0.8179138731625455,0.7175334921747134,0.9371006907592504,12.960997581481934,2.3570492267608643,2.3570492267608643,2.1136956214904785,2.104031801223755,69.70713986682027,6096.75634765625,0.033071254246646566,4.244302749633789,4.19012451171875,1.1792123317718506,1.1792123317718506,1.0944057703018188,0.9743332266807556,50.948057677386615,972.4511108398438,0.07919919374640978,3.9308066368103027
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,9,11,0.3333333333333333,28,12,2,128,11.801149368286133,11.801149368286133,1.8187154637416825e-05,0.02661489136517048,0.000335693359375,2.327232837677002,14.755864143371582,14.755864143371582,0.00010338226275052875,0.0332784503698349,0.00027974447584711015,2.4731316566467285,10.5878267288208,10.5878267288208,4.957404962624423e-05,0.023878462612628937,0.00034077963209711015,1.5070514678955078,11.00955867767334,11.00955867767334,-5.103555304231122e-05,0.02482958883047104,0.0003611246938817203,1.7263336181640625,0.8971860620020895,0.7997599634723731,0.7175334921747134,1.039831776591184,8.967973709106445,1.429269790649414,1.429269790649414,1.3877311944961548,1.3838526010513306,76.23090342657362,97803.890625,0.02539974945952563,4.333766937255859,5.767797946929932,1.2002787590026855,1.2002787590026855,1.1827564239501953,1.129884123802185,69.65929220144045,192.07325744628906,0.04330465568878608,4.243616104125977
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,10,0,0.37037037037037035,28,12,2,128,10.928964614868164,10.928964614868164,-2.955671152449213e-05,0.02464785985648632,0.000396728515625,2.0374834537506104,11.880290985107422,11.880290985107422,4.311365046305582e-05,0.026793351396918297,0.00032552084303461015,2.1636240482330322,12.720176696777344,12.720176696777344,-4.224718577461317e-05,0.028687532991170883,0.0004069010610692203,1.495341181755066,15.082056999206543,15.082056999206543,-7.115541666280478e-05,0.03401419147849083,0.0002848307485692203,2.016650915145874,1.1638958625097897,0.9199239840653913,1.0706957188772306,1.1856798343853991,5.059560298919678,1.5744765996932983,1.5744765996932983,1.417055606842041,1.3048046827316284,40.231160353537646,2946.578125,0.09683594404765658,3.6946418285369873,7.003224849700928,1.5205365419387817,1.5205365419387817,1.3694487810134888,1.325104832649231,67.96861917062607,827.7955322265625,0.04713978348799844,4.219046115875244
Qwen-1.5B,Qwen/Qwen2.5-1.5B,local,10,1,0.37037037037037035,28,12,2,128,11.299230575561523,11.299230575561523,-3.57256576535292e-05,0.02548290602862835,0.00024922689772211015,2.1521692276000977,11.880290985107422,11.880290985107422,4.311365046305582e-05,0.026793351396918297,0.00032552084303461015,2.1636240482330322,12.720176696777344,12.720176696777344,-4.224718577461317e-05,0.028687532991170883,0.0004069010610692203,1.495341181755066,10.728432655334473,10.728432655334473,-6.888686039019376e-05,0.02419552206993103,0.0004119873046875,1.5891727209091187,1.1257560071635788,0.9510903890932135,1.0706957188772306,0.8434185240577813,5.774532318115234,1.775998592376709,1.775998592376709,1.503359317779541,1.443806767463684,43.577403838072044,1276.5068359375,0.09458905435930767,3.77453875541687,7.882951736450195,1.2929861545562744,1.2929861545562744,1.2645289897918701,1.2462762594223022,97.40127511211868,9.132891654968262,0.026903060052516706,4.578839302062988
