model,layer,head,label,rel_depth,locality_score,match_entropy,delta_collapse,mean_distance,bos_mass,local_mass,long_range_mass,mean_max_attn,mean_entropy_ss,vq_ratio_atlas,mean_output_norm,wq_norm,wk_norm,wv_norm,wo_norm,vq_ratio_weight,ov_norm,ov_eff_rank,ov_sv1,ov_sv2,ov_sv3,qk_eff_rank,qk_sv1,qk_sv2,qk_sv3,head_dim,is_gqa,gqa_group_size,gqa_within_group_rank
GPT-2,1,15,local,0.041666666666666664,,2.53155,-0.09315,66.2205,0.0693,0.0832,0.5132,0.0693,4.2562,1.0817,4.4208,15.026329040527344,14.512569427490234,16.25425910949707,20.569955825805664,1.081718566501293,65.7579116821289,36.326351165771484,44.999527,27.773117,25.20169,17.050046920776367,25.350178,21.504707,12.800267,64,0,1,0
GPT-2,2,0,local,0.08333333333333333,,2.44288,-0.12197,59.8701,0.0157,0.1242,0.4239,0.0483,4.0742,1.5525,3.9329,11.20476245880127,13.938910484313965,17.39552116394043,14.200242042541504,1.5525113743285834,46.232154846191406,43.45746612548828,33.3637,15.927766,12.700641,26.19766616821289,9.242903,7.0979905,5.20466,64,0,1,0
GPT-2,2,1,local,0.08333333333333333,,2.35228,-0.06142,100.0155,0.2041,0.0214,0.7684,0.2041,3.41,1.2485,3.9329,13.06214714050293,15.838750839233398,16.308048248291016,12.190620422363281,1.2484967496440145,36.51543426513672,45.52314758300781,23.292358,19.194353,6.876866,24.046720504760742,15.444226,9.04202,6.469695,64,0,1,0
GPT-2,2,2,local,0.08333333333333333,,2.60194,-0.05638,21.8948,0.0154,0.175,0.184,0.0681,3.8855,0.7587,3.9329,35.125946044921875,32.938018798828125,26.650300979614258,20.472644805908203,0.7587069952658629,82.73917388916016,52.848262786865234,41.0515,24.241995,21.996073,58.02295684814453,23.096912,19.789827,16.687883,64,0,1,0
GPT-2,2,3,local,0.08333333333333333,,1.73357,0.01,11.4903,0.0303,0.3878,0.0657,0.3861,2.1137,0.4374,3.9329,48.26801300048828,42.6130485534668,21.111438751220703,18.70414161682129,0.43737948672150023,50.395050048828125,61.62657928466797,13.454225,9.004753,8.630654,51.681915283203125,59.088703,45.772038,29.522041,64,0,1,0
GPT-2,2,4,local,0.08333333333333333,,1.51644,-0.00188,3.9315,0.0088,0.4517,0.0145,0.4763,1.6635,0.4039,3.9329,50.8351936340332,40.33917236328125,20.534582138061523,19.444499969482422,0.4039442101055282,49.89454650878906,62.96500015258789,8.875706,8.627433,7.866178,50.45085906982422,90.49799,71.37952,38.10501,64,0,1,0
GPT-2,2,5,local,0.08333333333333333,,1.86564,-0.07207,12.9235,0.0387,0.4616,0.0746,0.203,2.6484,0.5471,3.9329,38.264625549316406,33.77799606323242,20.93480682373047,17.940349578857422,0.5471060156265901,47.92058181762695,61.58013916015625,11.01271,9.70488,8.623194,55.22493362426758,42.163372,30.631042,26.079649,64,0,1,0
GPT-2,2,6,local,0.08333333333333333,,2.02733,-0.0823,8.0209,0.0143,0.3647,0.033,0.3471,2.2876,0.6065,3.9329,34.71773147583008,29.81818962097168,21.055965423583984,17.162593841552734,0.606490243702766,48.66111755371094,57.71643829345703,17.91503,13.53493,10.557329,45.87546157836914,51.74835,45.26077,24.736086,64,0,1,0
GPT-2,2,7,local,0.08333333333333333,,2.04875,-0.10789,15.1347,0.0394,0.1651,0.0948,0.3041,2.9738,0.8458,3.9329,26.703155517578125,24.535980224609375,22.584575653076172,17.05539321899414,0.8457643007100182,57.89494705200195,52.30369186401367,29.960487,18.06528,14.496738,35.08964157104492,24.491365,14.027537,12.210308,64,0,1,0
GPT-2,2,8,local,0.08333333333333333,,1.96425,-0.05846,18.587,0.0384,0.2413,0.1068,0.3357,2.4144,0.4637,3.9329,55.60429763793945,50.91530227661133,25.781227111816406,21.473289489746094,0.46365529656875143,69.86279296875,62.48036575317383,15.565554,14.202947,11.599845,51.430091857910156,29.716372,27.457188,27.143255,64,0,1,0
